user_sn,organization_id,class,chinese_score,math_score,english_score
2697,973,2,80,52,86
4381,3740,7,70,52,57
4561,973,2,77,56,100
6802,973,2,93,60,49
6828,3740,7,83,52,89
8634,1808,3,37,24,63
11303,1808,3,47,20,66
11312,2486,1,97,72,97
13328,1808,3,70,44,94
14314,3740,7,77,64,97
14503,338,3,53,20,89
15995,338,3,80,60,94
17422,973,2,87,60,97
20034,1808,3,70,60,83
23061,3740,7,37,36,49
23250,1808,3,87,36,97
23415,3740,7,23,24,29
30835,3740,7,73,68,97
32737,338,3,80,88,100
38371,2486,1,37,24,17
38614,338,3,73,40,97
42229,973,2,67,44,43
42415,1808,3,77,24,77
46696,1808,3,67,60,74
49363,338,3,87,28,89
50836,2486,1,80,68,94
54952,338,3,57,44,97
62947,1808,3,80,52,94
65038,338,3,80,76,80
75997,973,2,83,52,86
79642,3740,7,50,32,43
80380,973,2,40,32,29
82762,973,2,63,24,69
87634,3740,7,97,76,97
104242,2486,1,90,56,89
106042,338,3,87,76,97
106132,973,2,30,44,34
106735,1808,3,37,24,40
108139,1808,3,70,44,97
108343,2486,1,90,64,100
108886,3740,7,60,44,71
112627,338,3,73,40,94
122299,1808,3,43,24,37
122416,338,3,50,28,31
128878,2486,1,73,48,94
128932,2486,1,37,44,49
143197,2486,1,73,52,94
143323,3740,7,73,60,74
149800,3740,7,83,48,97
162052,338,3,77,60,100
163096,3740,7,87,40,100
169813,3740,7,83,44,77
174793,3740,7,60,56,83
175582,973,2,67,16,34
183190,973,2,63,48,66
189454,973,2,53,36,83
195388,3740,7,67,52,94
200920,338,3,30,28,40
201286,338,3,73,60,89
203770,338,3,87,48,97
209884,973,2,70,48,66
212767,1808,3,43,36,63
216079,3740,7,63,36,83
216784,3740,7,40,24,23
221236,1808,3,80,40,89
223594,338,3,60,44,71
224032,3740,7,83,40,66
225274,3740,7,47,24,37
232372,2486,1,53,28,54
243283,338,3,90,64,100
246112,338,3,63,64,74
247933,3740,7,73,44,71
250399,1808,3,60,36,80
255091,338,3,70,52,91
260608,3740,7,80,44,80
260818,338,3,80,52,74
269746,338,3,97,36,100
270670,973,2,63,44,54
272512,3740,7,67,40,66
272527,1808,3,77,64,63
278962,2486,1,73,56,97
283450,3740,7,63,56,97
286321,1808,3,57,48,66
286903,2486,1,80,48,71
288079,338,3,90,44,97
296062,3740,7,90,44,40
304753,3740,7,80,44,77
307570,1808,3,67,56,63
311086,2486,1,67,44,37
311152,2486,1,70,40,23
312031,973,2,80,68,97
313378,2486,1,37,36,34
313897,338,3,73,64,89
314389,338,3,87,68,97
316786,3740,7,77,60,91
